ID,Text,Labels
8025_12_0,für die mit bb2 bezeichneten grundflächen wird bestimmt: die dächer der gebäude sind als flachdächer auszuführen und nach dem stand der technischen wissenschaften zu begrünen.,"['BegruenungDach', 'Dachart', 'Planzeichen']"
8025_12_1,der abteilungsleiter: dipl.-ing. krauss senatsrat,[]
7498_0_0,unverkäufliches dienstexemplar!,[]
7498_0_1,magistrat der stadt wien ma 21 a stadtteilplanung und flächennutzung innen-west plandokument 7498 festsetzung des flächenwidmungsplanes und des bebauungsplanes,[]
7498_0_2,der gemeinderat hat in seiner sitzung am 28. märz 2003.,[]
7498_0_3,"pr. zl 1000/2003-gsv, den folgenden beschluss gefasst: in festsetzung des flächenwidmungsplanes und des bebauungsplanes für das im antragsplan nr. 7498 mit der rot strichpunktierten linie und der in roter schrift als plangebietsgrenze bezeichneten fluchtlinie bzw. bezirksgrenze umschriebene gebiet zwischen höhenstraße, linienzug 1-4, waldrandweg, linienzug 5-6, promenadeweg, linienzug 7-8, waldrandweg, linienzug 9-10, kleeblattweg (bezirksgrenze) und sommerhaidenweg im 17.",[]
7498_0_4,"bezirk, kat. g. neuwaldegg werden unter anwendung des § 1 der bo für wien folgende bestimmungen getroffen:",[]
7498_1_0,"die bisher gültigen flächenwidmungspläne und bebauungspläne verlieren, soweit sie innerhalb des gegenständlichen plangebietes liegen, ihre weitere rechtskraft.",[]
7498_3_0,die roten planzeichen gelten als neu festgesetzt.,[]
7498_3_1,"für die rechtliche bedeutung der roten planzeichen ist die beiliegende „zeichenerklärung für den flächenwidmungsplan und den bebauungsplan“ (§§ 4 und 5 der bo für wien) vom 1. oktober 2001 maßgebend, die einen bestandteil dieses beschlusses bildet.",[]
7498_4_0,"für die querschnitte der verkehrsflächen gemäß § 5 abs. 2 lit. c der bo für wien wird bestimmt, dass bei einer straßenbreite unter 10,0 m entlang der fluchtlinien gehsteige mit mindestens 0,8 m breite, bei einer straßenbreite von 10,0 m bis unter 16,0 m entlang der fluchtlinien gehsteige mit mindestens 1,5 m breite herzustellen sind, wobei diese bei einer straßenbreite bis zu 6 m niveaugleich mit der fahrbahn herzustellen sind.","['AnFluchtlinie', 'GehsteigbreiteMin', 'StrassenbreiteMax', 'StrassenbreiteVonBis']"
7498_4_1,"der hauptweg von bachzeile bis promenadeweg, der höhenweg, der klosterbergweg, der hubertusweg, der verbindungsweg, der tiefauweg, der brückenweg und in den kräutern werden als verkehrsflächen gemäß § 53 der bauordnung für wien festgesetzt.",['VerkehrsflaecheID']
7498_4_2,seite 2,[]
7498_5_0,gemäß § 5 abs. 4 der bauordnung für wien wird für das gesamte plangebiet ohne eigene kennzeichnung im plan bestimmt:,['GesamtePlangebiet']
7498_6_0,"bei den innerhalb des baulandes zur errichtung gelangenden gebäuden darf der höchste punkt des daches nicht höher als 4,5 m über der tatsächlich ausgeführten gebäudehöhe liegen.","['AbschlussDachMaxBezugGebaeude', 'GebaeudeHoeheArt', 'Widmung']"
7498_7_0,"soweit die zulässige gebäudehöhe nach § 81 abs. 2 der bo für wien zu ermitteln ist, wird für die gliederung der baumassen bestimmt, dass der obere abschluss der gebäudefronten an keiner stelle höher als das um 1,5 m vermehrte ausmaß der zulässigen gebäudehöhe über dem anschließenden gelände liegen darf.",['Massengliederung']
7498_8_0,"einfriedungen auf gärtnerisch auszugestaltenden flächen dürfen ab einer höhe von 0,5 m den freien durchblick nicht hindern.","['AnordnungGaertnerischeAusgestaltung', 'EinfriedungAusgestaltung']"
7498_9_0,die mit nebengebäuden bebaute grundfläche darf höchstens 30 m 2 je bauplatz betragen.,"['BebauteFlaecheMaxNebengebaeude', 'GebaeudeBautyp']"
7498_9_1,"die dächer der zur errichtung gelangenden nebengebäude sind ab einer größe von 5 m2 entsprechend dem stand der technik als begrünte flachdächer auszubilden, sofern es sich nicht um glasdächer handelt.","['BegruenungDach', 'Dachart', 'DachflaecheMin', 'GebaeudeBautyp']"
7498_9_2,technische bzw. der belichtung dienende aufbauten sind im erforderlichen ausmaß zulässig.,['AufbautenZulaessig']
7498_10_0,"nicht bebaute, jedoch bebaubare baulandflächen sind gärtnerisch auszugestalten.","['AnordnungGaertnerischeAusgestaltung', 'Widmung']"
7498_11_0,innerhalb der als bauland gewidmeten und mit g bezeichneten flächen dürfen unterirdische bauten oder bauteile nur in einem ausmaß von maximal 20 v. h. des bauplatzes errichtet werden.,"['BebauteFlaecheMaxProzentual', 'Planzeichen', 'UnterirdischeBaulichkeiten', 'Widmung']"
7498_12_0,gemäß § 5 abs. 4 der bauordnung für wien wird für das gesamte plangebiet mit eigener kennzeichnung im plan (bb) bestimmt:,"['GesamtePlangebiet', 'Planzeichen']"
7498_13_0,innerhalb der mit bb1 bezeichneten und als bauland/gartensiedlungsgebiet gewidmeten grundflächen darf die bebaute grundfläche 70 m2 bzw. 20 v. h. je baulos nicht überschreiten.,"['BebauteFlaecheMax', 'Planzeichen', 'Widmung']"
7498_13_1,für den gebäudeumriss ist eine dachneigung von 45 grad zulässig.,['DachneigungMax']
7498_16_0,auf den als grünland/erholungsgebiet/sport- und spielplätze (esp) gewidmeten und mit bb3 bezeichneten grundflächen dürfen keine gebäude errichtet werden.,"['ErrichtungGebaeude', 'Planzeichen', 'Widmung']"
7498_17_0,auf den als grünland/erholungsgebiet/sport- und spielplätze (esp) und mit bb4 bezeichneten grundflächen dürfen keine gebäude und keine unterirdischen bauten errichtet werden.,"['ErrichtungGebaeude', 'Planzeichen', 'UnterirdischeBaulichkeiten', 'Widmung']"
7498_17_1,die grundflächen sind gärtnerisch auszugestalten.,['AnordnungGaertnerischeAusgestaltung']
7498_18_0,gemäß § 3 des wiener kleingartengesetzes wird bestimmt:,[]
7498_19_0,innerhalb der mit bb5 bezeichneten und als grünland/erholungsgebiet/ kleingartengebiet für ganzjähriges wohnen gewidmeten grundflächen darf die bebaute fläche 20 v. h. je kleingarten nicht überschreiten.,"['BebauteFlaecheMaxProzentual', 'Planzeichen', 'Widmung']"
7498_20_0,die mit eklw gewidmeten und mit bb6 bezeichneten flächen dürfen ausschließlich als gemeinschaftseinrichtung zum abstellen von kraftfahrzeugen genutzt werden.,"['AnlageZumEinstellenVorhanden', 'Planzeichen', 'Widmung']"
7498_20_1,der abteilungsleiter: dipl.-ing. klaus vatter senatsrat,[]
8089_0_0,magistrat der stadt wien ma 21 b - stadtteilplanung und flächenwidmung - nordost plandokument 8089 festsetzung des flächenwidmungsplanes und des bebauungsplanes,[]
8089_0_1,"der gemeinderat hat in seiner sitzung am 24. juni 2020, pr. zl. 140585-2019-gsk, den folgenden beschluss gefasst: in festsetzung des flächenwidmungsplanes und des bebauungsplanes für das im antragsplan nr. 8089 mit der rot strichpunktierten linie umschriebene gebiet zwischen donaustadtstraße, gerambgasse, godlewskigasse, erzherzog-karl-straße, polgarstraße, schreinerweg, rabenlechnerweg und lange allee im",['VerkehrsflaecheID']
8089_1_0,"bezirk, kat. g. stadlau und kat. g. kagran werden unter anwendung des § 1 der bauordnung (bo) für wien die in den absätzen i und ii angeführten bestimmungen getroffen:",[]
8089_2_0,"die bisherigen flächenwidmungspläne und bebauungspläne verlieren, soweit sie innerhalb des gegenständlichen plangebiets liegen, ihre weitere rechtskraft.",[]
8089_3_0,gemäß §§ 4 und 5 der bo für wien werden folgende bestimmungen getroffen:,[]
8089_4_0,bestimmungen des plans: die roten planzeichen gelten als neu festgesetzt.,[]
8089_4_1,für die rechtliche bedeutung der planzeichen ist die beiliegende „zeichenerklärung für den flächenwidmungsplan und den bebauungsplan“ (§§ 4 und 5 der bo für wien) vom,[]
8089_5_0,"juli 2014 maßgebend, die einen bestandteil dieses beschlusses bildet.",[]
8089_6_0,bestimmungen für die ausgestaltung der querschnitte von verkehrsflächen:,[]
8089_7_0,"für die ausgestaltung von verkehrsflächen mit einer gesamtbreite von 11,0 m oder mehr, soweit sie innerhalb des plangebiets liegen, wird bestimmt: entlang der fluchtlinien sind gehsteige mit jeweils mindestens 2,0 m breite herzustellen.","['AnFluchtlinie', 'GehsteigbreiteMin', 'GesamtePlangebiet', 'OeffentlicheVerkehrsflaecheBreiteMin']"
8089_8_0,"für die ausgestaltung von verkehrsflächen mit einer gesamtbreite von mehr als 15,0 m, soweit sie innerhalb des plangebiets liegen, wird bestimmt: der querschnitt ist so auszugestalten, dass die herstellung bzw. erhaltung einer baumreihe möglich ist.","['GesamtePlangebiet', 'OeffentlicheVerkehrsflaecheBreiteMin', 'VorkehrungBepflanzung']"
8089_9_0,für die ausgestaltung der donaustadtstraße zwischen lange allee und viktorkaplan-straße wird bestimmt:,['VerkehrsflaecheID']
8089_10_0,"entlang der fluchtlinie ist ein gehsteig mit mindestens 3,0 m breite herzustellen.","['AnFluchtlinie', 'GehsteigbreiteMin']"
8089_11_0,"es ist vorsorge für die errichtung einer radverkehrsanlage mit einer breite von mindestens 3,0 m zu treffen.","['Nutzungsart', 'OeffentlicheVerkehrsflaecheBreiteMin']"
8089_12_0,bestimmungen ohne bezeichnung des geltungsbereichs mit dem planzeichen bb:,['Planzeichen']
8089_13_0,für das gesamte plangebiet wird bestimmt:,['GesamtePlangebiet']
8089_14_0,"der oberste abschluss der zur errichtung gelangenden dächer darf nicht höher als 4,5 m über der zulässigen gebäudehöhe liegen.","['AbschlussDachMaxBezugGebaeude', 'GebaeudeHoeheArt']"
8089_15_0,"oberirdisch bebaubare, jedoch unbebaut bleibende grundflächen sind gärtnerisch auszugestalten.",['AnordnungGaertnerischeAusgestaltung']
8089_16_0,die zur errichtung gelangenden dächer von gebäuden mit einer bebauten fläche von mehr als 12 m² sind bis zu einer dachneigung von 15° entsprechend dem stand der technik zu begrünen.,"['BebauteFlaecheMin', 'BegruenungDach', 'DachneigungMax']"
8089_17_0,die errichtung von hochhäusern ist nicht zulässig.,['HochhausZulaessigGemaessBB']
8089_18_0,zu den öffentlichen verkehrsflächen erzherzog-karl-straße und donaustadtstraße dürfen im erdgeschoß keine fenster von aufenthaltsräumen von wohnungen hergestellt werden.,"['Stockwerk', 'VerbotFensterZuOeffentlichenVerkehrsflaechen', 'VerkehrsflaecheID']"
8089_19_0,für die mit bauland/gemischtes baugebiet – geschäftsviertel bauklasse i ausgewiesenen grundflächen gilt:,"['Bauklasse', 'Widmung']"
8089_20_0,die zur errichtung gelangenden dächer von gebäuden mit einer bebauten fläche von mehr als 12 m² sind als flachdächer auszuführen und entsprechend dem stand der technik zu begrünen.,"['BebauteFlaecheMin', 'BegruenungDach', 'Dachart']"
8089_21_0,"für grundflächen, für die die gärtnerische ausgestaltung angeordnet wird (g), wird bestimmt:","['AnordnungGaertnerischeAusgestaltung', 'Planzeichen', 'Widmung']"
8089_22_0,unterirdische gebäude dürfen mit einer bebauten fläche von höchstens 25 v.h. der jeweiligen teile der bezeichneten grundflächen errichtet werden.,"['BebauteFlaecheMaxProzentual', 'UnterirdischeBaulichkeiten']"
8089_23_0,für die verbindung der punkte a und b wird bestimmt:,['Planzeichen']
8089_24_0,"der raum für die errichtung und duldung eines 2,0 m breiten öffentlichen durchgangs ist von bebauung freizuhalten.",['DurchgangBreite']
8089_25_0,bestimmungen mit bezeichnung des geltungsbereichs mit dem planzeichen bb:,['Planzeichen']
8089_26_0,für die mit bb 1 bezeichneten grundflächen wird bestimmt: die unterbrechung der geschlossenen bauweise ist zulässig.,"['Planzeichen', 'UnterbrechungGeschlosseneBauweise']"
8089_27_0,für die mit bb 2 bezeichneten grundflächen wird bestimmt: die fläche ist von jeder oberirdischen bebauung freizuhalten.,"['Planzeichen', 'VonBebauungFreizuhalten']"
8089_28_2,bei teilung auf mehrere bauplätze ist dieses ausmaß nach dem verhältnis der größe der jeweiligen teile der bauplätze aufzuteilen.,[]
8089_29_0,bestimmungen für das strukturgebiet:,['Struktureinheit']
8089_30_0,die mit fluchtlinien umgrenzte und mit strg bezeichnete grundfläche darf unmittelbar bebaut werden.,"['BBAllgemein', 'ErrichtungGebaeude', 'Planzeichen']"
8089_31_0,der oberirdisch umbaute raum der bauwerke darf höchstens 23.000 m³ betragen.,['VolumenUndUmbaubarerRaum']
8089_32_0,"der oberste abschluss der zur errichtung gelangenden bauwerke darf nicht mehr als 15,0 m über der angrenzenden verkehrsfläche liegen..",['AbschlussDachMaxBezugGelaende']
8089_32_1,der abteilungsleiter dipl.-ing. christoph hrncir,[]
8141_0_0,magistrat der stadt wien ma 21 stadtteilplanung und flächennutzung plandokument 8141 festsetzung des flächenwidmungsplanes und des bebauungsplanes,[]
8141_0_1,"der gemeinderat hat in seiner sitzung am 29. april 2016, pr. zl. 674/2016-gsk, den folgenden beschluss gefasst: in festsetzung des flächenwidmungsplanes und des bebauungsplanes für das im antragsplan nr. 8141 mit der rot strichpunktierten linie oder den in roter schrift als „plangebietsgrenze“ bezeichneten fluchtlinien bzw. bezirksgrenzen umschriebene gebiet zwischen bachofengasse, eisenbahnstraße, linienzug 1-2 (trasse der s 40), grinzinger straße und boschstraße im",['VerkehrsflaecheID']
8141_1_0,"bezirk, kat. g. nußdorf werden unter anwendung des § 1 der bauordnung (bo) für wien die in den absätzen i und ii angeführten bestimmungen getroffen",[]
8141_2_0,"die bisherigen flächenwidmungspläne und bebauungspläne verlieren, soweit sie innerhalb des gegenständlichen plangebiets liegen, ihre weitere rechtskraft.",[]
8141_3_0,gemäß §§ 4 und 5 der bo für wien werden folgende bestimmungen getroffen:,[]
8141_4_0,bestimmungen des plans: die roten planzeichen gelten als neu festgesetzt.,[]
8141_4_1,für die rechtliche bedeutung der planzeichen ist die beiliegende „zeichenerklärung für den flächenwidmungsplan und den bebauungsplan“ (§§ 4 und 5 der bo für wien) vom,[]
8141_5_0,"juli 2014 maßgebend, die einen bestandteil dieses beschlusses bildet.",[]
8141_6_0,bestimmungen für die ausgestaltung der querschnitte von verkehrsflächen:,[]
8141_7_0,"entlang der fluchtlinien sind gehsteige mit jeweils mindestens 2,0 m breite herzustellen.","['AnFluchtlinie', 'GehsteigbreiteMin']"
8141_8_0,bestimmungen ohne bezeichnung des geltungsbereichs mit dem planzeichen bb:,['Planzeichen']
8141_9_0,"der höchste punkt der zur errichtung gelangenden dächer darf die ausgeführte gebäudehöhe um höchstens 4,5 m überragen.","['AbschlussDachMaxBezugGebaeude', 'GebaeudeHoeheArt']"
8141_10_0,die zur errichtung gelangenden dächer von gebäuden mit einer bebauten fläche von mehr als 12 m² sind bis zu einer dachneigung von 15° entsprechend dem stand der technik zu begrünen.,"['BebauteFlaecheMin', 'BegruenungDach', 'DachneigungMax']"
8141_11_0,mit ausnahme der als gemischtes baugebiet/betriebsbaugebiet gewidmeten flächen darf die mit nebengebäuden bebaute grundfläche höchstens 30 m² je bauplatz betragen.,"['BebauteFlaecheMaxNebengebaeude', 'GebaeudeBautyp', 'Widmung']"
8141_11_1,die dächer von nebengebäuden mit einer bebauten fläche von mehr als 12 m² sind als flachdächer auszuführen und entsprechend dem stand der technik zu begrünen.,"['BebauteFlaecheMin', 'BegruenungDach', 'Dachart', 'GebaeudeBautyp']"
8141_12_0,mit ausnahme der als gemischtes baugebiet/betriebsbaugebiet gewidmeten flächen sind bebaubare jedoch unbebaut bleibende grundflächen gärtnerisch auszugestalten.,"['AnordnungGaertnerischeAusgestaltung', 'AusnahmeGaertnerischAuszugestaltende']"
8141_13_0,auf den als gemischtes baugebiet/geschäftsviertel gewidmeten grundflächen ist die errichtung von wohnungen untersagt.,"['VerbotWohnung', 'Widmung']"
8141_14_0,"die einleitungsmenge von niederschlagswässern in den kanal darf im neubaufall 0,012 l/s pro m² der fläche des jeweiligen bauplatzes, bauloses bzw. trennstückes nicht überschreiten.",['EinleitungNiederschlagswaesser']
8141_15_0,bestimmungen mit bezeichnung des geltungsbereichs mit dem planzeichen bb:,['Planzeichen']
8141_16_0,auf den mit bb1 bezeichneten flächen ist die unterbrechung der geschlossenen bauweise zulässig.,"['Planzeichen', 'UnterbrechungGeschlosseneBauweise']"
8141_17_0,für die mit bb2 bezeichneten grundflächen wird bestimmt: die zur errichtung gelangenden dächer von gebäuden mit einer bebauten fläche von mehr als 12 m² sind als flachdächer auszuführen und entsprechend dem stand der technik zu begrünen.,"['BebauteFlaecheMin', 'BegruenungDach', 'Dachart', 'Planzeichen']"
8141_17_1,der abteilungsleiter: dipl.-ing. walter krauss senatsrat,[]
7337k_0_0,magistrat der stadt wien ma 21 b stadtteilplanung und flächennutzung süd-nordost plandokument 7337k abänderung des flächenwidmungsplanes und des bebauungsplanes,[]
7337k_0_1,"der gemeinderat hat in seiner sitzung am 14. dezember 2007, pr. zl. 5088/2007–gsv, den folgenden beschluss gefasst: in änderung des flächenwidmungsplanes und des bebauungsplanes für das im antragsplan nr. 7337k mit der rot strichpunktierten linie oder den in roter schrift als „plangebietsgrenze“ bezeichneten fluchtlinien umschriebene gebiet zwischen oswaldgasse, linienzug 1-10, trasse u-bahnlinie u6, linienzug 11-12, hoffingergasse, oswaldgasse, stüber-gunther-gasse und linienzug 13-14 im 12.",['VerkehrsflaecheID']
7337k_0_2,"bezirk, kat. g. altmannsdorf werden unter anwendung des § 1 der bo für wien folgende bestimmungen getroffen:",[]
7337k_1_0,die roten planzeichen gelten als neu festgesetzt;,[]
7337k_1_1,"die schwarzen planzeichen behalten ihre rechtskraft, sofern sie nicht rot überdeckt, durchkreuzt oder durchstrichen sind.",[]
7337k_2_0,für die rechtliche bedeutung der planzeichen ist die beiliegende „zeichenerklärung für den flächenwidmungsplan und den bebauungsplan“ (§§,[]
7337k_3_0,"und 5 bo für wien) vom 1. september 2007 maßgebend, die einen bestandteil dieses beschlusses bildet.",[]
7337k_4_0,gemäß § 5 (4) bo wird bestimmt:,[]
7337k_5_0,für teilbereiche des plangebietes gültige bestimmungen:,[]
7337k_6_0,auf den mit bb1f bezeichneten flächen ist gemäß § 5 (4) lit. o ein neues geländeniveau herzustellen.,['Planzeichen']
7337k_7_0,"auf den mit bb2b, bb2t und bb2p bezeichneten bereichen darf der oberste abschluss der zur errichtung gelangenden gebäude die nachfolgend angeführten höhen über wiener null nicht überschreiten.",['Planzeichen']
7337k_8_0,auf den mit bb5 bezeichneten flächen ist die errichtung von gebäuden mit maximal 5 hauptgeschoßen zulässig.,"['MaxAnzahlGeschosseOberirdisch', 'Planzeichen']"
7337k_9_0,auf dem mit bb22 bezeichneten bereich ist die errichtung tragelementen im statisch erforderlichen ausmaß zulässig.,['Planzeichen']
7337k_10_0,gemäß § 77 der bo für wien werden im plangebiet struktureinheiten festgesetzt und dafür folgende bestimmungen getroffen:,['Struktureinheit']
7337k_11_0,der durch die gerade verbindung der eckpunkte k1-...-k6-(k1) definierte und mit stre k bezeichnete bereich wird als struktureinheit ausgewiesen und darf unmittelbar bebaut werden.,"['BBAllgemein', 'ErrichtungGebaeude', 'Planzeichen', 'Struktureinheit']"
7337k_11_1,"es wird bestimmt, dass alle auf dieser fläche errichteten gebäude eine gesamtkubatur von 66.700 m³ umbauten raumes über dem gemäß bb1e und bb1f festgesetzten niveau nicht überschreiten dürfen.",['VolumenUndUmbaubarerRaum']
7337k_11_2,der oberste abschluss der gebäude ist durch das gemäß bb2t ausgewiesene maß definiert.,[]
7337k_11_3,"weiters sind für diesen bereich kubaturen bis zu einem ausmaß von maximal 12.750 m³ zulässig für: - kubaturen, die sich durch geschoßhöhen über 2,8 m ergeben.",['VolumenUndUmbaubarerRaum']
7337k_11_4,"- kubaturen, die sich durch die errichtung von erschließungsflächen (stiegen, gänge und verbindungswege), deren ausmaße (fläche, höhe) die gemäß § 106 der bo für wien - gesetzlich vorgeschriebenen erfordernisse überschreiten, ergeben.",[]
7337k_11_5,"die gesamte zur errichtung gelangende kubatur ist der schaffung von geschäftsräumen, gaststätten oder gemeinschaftsanlagen, die wirtschaftlichen, sozialen, kulturellen, gesundheitlichen oder sportlichen zwecken dienen, vorbehalten.",['Nutzungsart']
7337k_12_0,der durch die gerade verbindung der eckpunkte l1–...-l6-(l1) definierte und mit stre l bezeichnete bereich wird als struktureinheit ausgewiesen und darf unmittelbar bebaut werden.,"['BBAllgemein', 'ErrichtungGebaeude', 'Planzeichen', 'Struktureinheit', 'Widmung']"
7337k_12_1,"es wird bestimmt, dass alle auf dieser fläche errichteten gebäude eine gesamtkubatur von 4.000 m³ umbauten raumes über dem gemäß bb1d festgesetzten niveau nicht überschreiten dürfen.",['VolumenUndUmbaubarerRaum']
7337k_12_2,der oberste abschluss der gebäude ist durch das gemäß bb2n und bb2g ausgewiesene maß definiert.,[]
7337k_12_3,"weiters sind für diesen bereich kubaturen bis zu einem ausmaß von maximal 5,00 m³ zulässig für: - kubaturen, die sich durch geschoßhöhen über 2,8 m ergeben.",['VolumenUndUmbaubarerRaum']
7337k_12_4,"- kubaturen, die sich durch die errichtung von erschließungsflächen (stiegen, gänge und verbindungswege), deren ausmaße (fläche, höhe) die - gemäß § 106 der bo für wien - gesetzlich vorgeschriebenen erfordernisse überschreiten, ergeben.",[]
7337k_13_0,der durch die gerade verbindung der eckpunkte x1–...-x16-(x1) definierte und mit stre x bezeichnete bereich wird als struktureinheit ausgewiesen und darf unmittelbar bebaut werden.,"['BBAllgemein', 'ErrichtungGebaeude', 'Planzeichen', 'Struktureinheit']"
7337k_13_1,"es wird bestimmt, dass alle auf dieser fläche errichteten gebäude eine gesamtkubatur von 23.500 m³ umbauten raumes über dem niveau der anschließenden öffentlichen verkehrsfläche der oswaldgasse nicht überschreiten dürfen.","['VerkehrsflaecheID', 'VolumenUndUmbaubarerRaum']"
7337k_13_2,"mindestens 5.000 m³ der zur errichtung gelangenden kubatur ist der schaffung von geschäftsräumen, gaststätten oder gemeinschaftsanlagen, die sozialen und kulturellen zwecken dienen, vorbehalten.","['Nutzungsart', 'VolumenUndUmbaubarerRaum']"
7337k_14_0,der durch die gerade verbindung der eckpunkte y1–...-y4-(y1) definierte und mit stre y bezeichnete bereich wird als struktureinheit ausgewiesen und darf unmittelbar bebaut werden.,"['BBAllgemein', 'ErrichtungGebaeude', 'Planzeichen', 'Struktureinheit']"
7337k_14_1,"es wird bestimmt, dass alle auf dieser fläche errichteten gebäude eine gesamtkubatur von 25.000 m³ umbauten raumes über dem niveau der anschließenden öffentlichen verkehrsfläche der oswaldgasse nicht überschreiten dürfen.","['VerkehrsflaecheID', 'VolumenUndUmbaubarerRaum']"
7337k_15_0,gemäß § 5 (4) lit. b der bo für wien in verbindung mit § 36 (2) des wiener garagengesetzes wird bestimmt:,[]
7337k_16_0,auf den mit bb8 bezeichneten flächen ist die errichtung von anlagen zum einstellen von kraftfahrzeugen zulässig.,"['AnlageZumEinstellenVorhanden', 'Planzeichen']"
7337k_17_0,innerhalb der mit bb10 bezeichneten bereiche ist die errichtung einer anlage zum einstellen von maximal 400 kraftfahrzeugen zulässig.,"['Planzeichen', 'StellplatzregulativUmfangMaximumAbsolut']"
7337k_18_0,gemäß §§ 5 (7) und 4 (3) der bo für wien wird bestimmt:,[]
7337k_19_0,"auf den mit bb13 bezeichneten flächen ist der raum bis zu einer höhe von 4,7 m über dem straßenniveau, der öffentlichen verkehrsfläche, der raum darüber der jeweiligen struktureinheit zugeordnet.","['Planzeichen', 'WidmungInMehrerenEbenen']"
7337k_20_0,"auf der mit bb21 bezeichneten fläche ist ein raum mit einer lichten durchgangshöhe von 5,00 m zur errichtung und duldung eines öffentlichen durchganges freizuhalten.","['DurchgangHoehe', 'Planzeichen']"
7337k_20_1,der abteilungsleiter: dipl.-ing. walter krauss oberstadtbaurat,[]
7471_0_0,unverkäufliches dienstexemplar!,[]
7471_0_1,magistrat der stadt wien ma 21 b stadtteilplanung und flächennutzung süd-nordost plandokument 7471 festsetzung des flächenwidmungsplanes und des bebauungsplanes,[]
7471_0_2,"der gemeinderat hat in seiner sitzung am 17. dezember 2004, pr. zl. 5092/2004–gsv, den folgenden beschluss gefasst: in festsetzung des flächenwidmungsplanes und des bebauungsplanes für das im antragsplan nr. 7471 mit der rot strichpunktierten linie umschriebene gebiet zwischen carlbergergasse, eduard-kittenberger-gasse, perfektastraße, an den steinfeldern und seybelgasse im 23.",['VerkehrsflaecheID']
7471_0_3,"bezirk, kat. g. liesing werden unter anwendung des § 1 der bauordnung für wien folgende bestimmungen getroffen:",[]
7471_1_0,"die bisher gültigen flächenwidmungspläne und bebauungspläne verlieren, soweit sie innerhalb des gegenständlichen plangebietes liegen, ihre weitere rechtskraft.",[]
7471_3_0,die roten planzeichen gelten als neu festgesetzt.,[]
7471_3_1,"für die rechtliche bedeutung der planzeichen ist die beiliegende „zeichenerklärung für den flächenwidmungsplan und den bebauungsplan“ (§§ 4 und 5 bo für wien) vom 1. oktober 2001 maßgebend, die einen bestandteil dieses beschlusses bildet.",[]
7471_4_0,"für die querschnitte der verkehrsflächen gemäß § 5 (2) lit. c der bauordnung für wien wird bestimmt, dass entlang den fluchtlinien gehsteige mit mindestens 2,0 m breite herzustellen sind.","['AnFluchtlinie', 'GehsteigbreiteMin']"
